ticker,tier,bucket,listing,year,status,source,first_bar,n_bars
ABNB,T4,headline,2020-12-10,2020,ok,yfinance,2020-12-10,1373
RKT,T4,headline,2020-08-06,2020,ok,yfinance,2020-08-06,1464
DASH,T4,headline,2020-12-09,2020,ok,yfinance,2020-12-09,1374
HOOD,T4,headline,2021-07-29,2021,ok,yfinance,2021-07-29,1215
SNOW,T4,headline,2020-09-16,2020,ok,yfinance,2020-09-16,1433
LU,T4,headline,2020-10-30,2020,ok,yfinance,2020-10-30,1404
PATH,T4,headline,2021-04-21,2021,ok,yfinance,2021-04-21,1287
APP,T4,headline,2021-04-15,2021,ok,yfinance,2021-04-15,1288
JD,T4,headline,2014-05-22,2014,ok,yfinance,2014-05-22,3024
GFS,T4,headline,2021-10-28,2021,ok,yfinance,2021-10-28,1151
BEKE,T4,headline,2020-08-13,2020,ok,yfinance,2020-08-13,1459
LYFT,T4,headline,2019-03-29,2019,ok,yfinance,2019-03-29,1803
ATUS,T4,headline,2017-06-22,2017,missing_both_sources,,,0
KMI,T4,headline,2011-02-10,2011,ok,yfinance,2011-02-11,3847
PDD,T4,headline,2018-07-26,2018,ok,yfinance,2018-07-26,1972
YMM,T4,headline,2021-06-22,2021,ok,yfinance,2021-06-23,1243
TME,T4,headline,2018-12-12,2018,ok,yfinance,2018-12-12,1876
HLT,T4,headline,2013-12-12,2013,ok,yfinance,2013-12-12,3134
TOST,T4,headline,2021-09-22,2021,ok,yfinance,2021-09-22,1177
SNAP,T4,headline,2017-03-02,2017,ok,yfinance,2017-03-02,2325
SYF,T4,headline,2014-07-31,2014,ok,yfinance,2014-07-31,2976
RLX,T4,headline,2021-01-22,2021,ok,yfinance,2021-01-22,1348
CRWV,T4,headline,2025-03-28,2025,ok,yfinance,2025-03-28,295
TWTR,T4,headline,2013-11-07,2013,missing_both_sources,,,0
LINE,T4,headline,2024-07-25,2024,ok,yfinance,2024-07-25,467
MBLY,T4,headline,2022-10-26,2022,ok,yfinance,2022-10-26,901
RPRX,T4,headline,2020-06-16,2020,ok,yfinance,2020-06-16,1500
FIG,T4,headline,2025-07-31,2025,ok,yfinance,2025-07-31,214
XM,T4,headline,2021-01-28,2021,missing_both_sources,,,0
XP,T4,headline,2019-12-11,2019,ok,yfinance,2019-12-11,1628
LOGC,T4,headline,2020-12-16,2020,ok,yfinance,2020-12-16,1371
MQ,T4,headline,2021-06-09,2021,ok,yfinance,2021-06-09,1250
HCP,T4,headline,2021-12-09,2021,missing_both_sources,,,0
ZTO,T4,headline,2016-10-27,2016,ok,yfinance,2016-10-27,2413
FDC,T4,headline,2015-10-15,2015,missing_both_sources,,,0
U,T4,headline,2020-09-18,2020,ok,yfinance,2020-09-18,1431
HCA,T4,headline,2011-03-09,2011,ok,yfinance,2011-03-10,3829
OLPX,T4,headline,2021-09-30,2021,ok,yfinance,2021-09-30,1174
CRBG,T4,headline,2022-09-15,2022,ok,yfinance,2022-09-16,932
PAGP,T4,headline,2013-10-16,2013,ok,yfinance,2013-10-16,3177
ZTS,T4,headline,2013-01-31,2013,ok,yfinance,2013-02-01,3352
GRPN,T4,headline,2011-11-03,2011,ok,yfinance,2011-11-04,3662
WMG,T4,headline,2020-06-03,2020,ok,yfinance,2020-06-03,1506
GDRX,T4,headline,2020-09-23,2020,ok,yfinance,2020-09-23,1431
ALLY,T4,headline,2014-04-10,2014,ok,yfinance,2014-01-28,3104
TUYA,T4,headline,2021-03-18,2021,ok,yfinance,2021-03-19,1309
AFRM,T4,headline,2021-01-13,2021,ok,yfinance,2021-01-13,1351
AR,T4,headline,2013-10-10,2013,ok,yfinance,2013-10-10,3181
CFG,T4,headline,2014-09-24,2014,ok,yfinance,2014-09-24,2938
IOT,T4,headline,2021-12-15,2021,ok,yfinance,2021-12-15,1121
XPEV,T4,headline,2020-08-27,2020,ok,yfinance,2020-08-27,1449
EQH,T4,headline,2018-05-10,2018,ok,yfinance,2018-05-10,2028
PLTK,T4,headline,2021-01-15,2021,ok,yfinance,2021-01-19,1348
GTLB,T4,headline,2021-10-14,2021,ok,yfinance,2021-10-14,1161
ADT,T4,headline,2018-01-19,2018,ok,yfinance,2018-01-19,2105
VIK,T4,headline,2024-05-01,2024,ok,yfinance,2024-05-01,525
FRSH,T4,headline,2021-09-22,2021,ok,yfinance,2021-09-22,1180
PINS,T4,headline,2019-04-18,2019,ok,yfinance,2019-04-18,1789
CHYM,T3,headline,2025-06-12,2025,ok,yfinance,2025-06-12,246
RACE,T3,headline,2015-10-21,2015,ok,yfinance,2015-10-21,2670
LI,T3,headline,2020-07-30,2020,ok,yfinance,2020-07-30,1469
ZM,T3,headline,2019-04-18,2019,ok,yfinance,2019-04-18,1792
CFLT,T3,headline,2021-06-24,2021,missing_both_sources,,,0
TPG,T3,headline,2022-01-13,2022,ok,yfinance,2022-01-13,1101
S,T3,headline,2021-06-30,2021,ok,yfinance,2021-06-30,1238
SDC,T3,headline,2019-09-12,2019,missing_both_sources,,,0
CHWY,T3,headline,2019-06-14,2019,ok,yfinance,2019-06-14,1753
PCOR,T3,headline,2021-05-20,2021,ok,yfinance,2021-05-20,1266
ELAN,T3,headline,2018-09-20,2018,ok,yfinance,2018-09-20,1936
STUB,T3,headline,2025-09-17,2025,ok,yfinance,2025-09-17,204
BIRK,T3,headline,2023-10-11,2023,ok,yfinance,2023-10-11,661
MCFE,T3,headline,2020-10-22,2020,missing_both_sources,,,0
TSP,T3,headline,2021-04-15,2021,missing_both_sources,,,0
CART,T3,headline,2023-09-19,2023,ok,yfinance,2023-09-19,677
ENBL,T3,headline,2014-04-11,2014,missing_both_sources,,,0
DBX,T3,headline,2018-03-23,2018,ok,yfinance,2018-03-23,2061
PTON,T3,headline,2019-09-26,2019,ok,yfinance,2019-09-26,1681
ZI,T3,headline,2020-06-04,2020,missing_both_sources,,,0
YNDX,T3,headline,2011-05-24,2011,missing_both_sources,,,0
ATH,T3,headline,2016-12-09,2016,missing_both_sources,,,0
SARO,T3,headline,2024-10-02,2024,ok,yfinance,2024-10-02,419
SRAD,T3,headline,2021-09-14,2021,ok,yfinance,2021-09-14,1186
INFA,T3,headline,2021-10-27,2021,missing_both_sources,,,0
OSCR,T3,headline,2021-03-03,2021,ok,yfinance,2021-03-03,1321
PECO,T3,headline,2021-07-15,2021,ok,yfinance,2021-02-25,1325
DDOG,T3,headline,2019-09-19,2019,ok,yfinance,2019-09-19,1686
EQGP,T3,headline,2015-05-12,2015,ok,yfinance,2015-05-12,924
ACI,T3,headline,2020-06-26,2020,ok,yfinance,2020-06-26,1492
BZ,T3,headline,2021-06-11,2021,ok,yfinance,2021-06-11,1251
KVYO,T3,headline,2023-09-20,2023,ok,yfinance,2023-09-20,676
MRNA,T3,headline,2018-12-07,2018,ok,yfinance,2018-12-07,1882
MNDY,T3,headline,2021-06-10,2021,ok,yfinance,2021-06-10,1252
WEBR,T3,headline,2021-08-05,2021,missing_both_sources,,,0
NTSK,T3,headline,2025-09-18,2025,ok,yfinance,2025-09-18,203
RELY,T3,headline,2021-09-23,2021,ok,yfinance,2021-09-23,1179
ZNGA,T3,headline,2011-12-15,2011,missing_both_sources,,,0
AVTR,T3,headline,2019-05-17,2019,ok,yfinance,2019-05-17,1772
COMP,T3,headline,2021-04-01,2021,ok,yfinance,2021-04-01,1300
KOS,T3,headline,2011-05-10,2011,ok,yfinance,2011-05-11,3789
MRVI,T3,headline,2020-11-20,2020,ok,yfinance,2020-11-20,1389
CRCL,T3,headline,2025-06-05,2025,ok,yfinance,2025-06-05,248
IHS,T3,headline,2021-10-14,2021,ok,yfinance,2021-10-14,1164
CRWD,T3,headline,2019-06-12,2019,ok,yfinance,2019-06-12,1755
ROOT,T3,headline,2020-10-28,2020,ok,yfinance,2020-10-28,1406
LFST,T3,headline,2021-06-10,2021,ok,yfinance,2021-06-10,1252
VICI,T3,headline,2018-02-01,2018,ok,yfinance,2018-01-02,2117
CG,T3,headline,2012-05-02,2012,ok,yfinance,2012-05-03,3542
PAGS,T3,headline,2018-01-24,2018,ok,yfinance,2018-01-24,2102
GOCO,T3,headline,2020-07-15,2020,ok,yfinance,2020-07-15,1480
ONON,T3,headline,2021-09-15,2021,ok,yfinance,2021-09-15,1185
BMBL,T3,headline,2021-02-11,2021,ok,yfinance,2021-02-11,1331
STNE,T3,headline,2018-10-25,2018,ok,yfinance,2018-10-25,1911
SHC,T3,headline,2020-11-20,2020,ok,yfinance,2020-11-20,1389
NIO,T3,headline,2018-09-12,2018,ok,yfinance,2018-09-12,1942
COTY,T3,headline,2013-06-12,2013,ok,yfinance,2013-06-13,3261
LEVI,T3,headline,2019-03-21,2019,ok,yfinance,2019-03-21,1812
BLCO,T3,headline,2022-05-06,2022,ok,yfinance,2022-05-06,1023
AS,T3,headline,2024-02-01,2024,ok,yfinance,2024-02-01,587
INVH,T3,headline,2017-02-01,2017,ok,yfinance,2017-02-01,2348
STVN,T3,headline,2021-07-16,2021,ok,yfinance,2021-07-16,1227
DLO,T3,headline,2021-06-03,2021,ok,yfinance,2021-06-03,1257
GFL,T3,headline,2020-03-03,2020,ok,yfinance,2020-03-03,1573
EDR,T3,headline,2021-04-29,2021,missing_both_sources,,,0
MNSO,T3,headline,2020-10-15,2020,ok,yfinance,2020-10-15,1415
TW,T3,headline,2019-04-04,2019,ok,yfinance,2019-04-04,1802
RYAN,T3,headline,2021-07-22,2021,ok,yfinance,2021-07-22,1223
BRZE,T3,headline,2021-11-17,2021,ok,yfinance,2021-11-17,1140
FTCH,T3,headline,2018-09-21,2018,missing_both_sources,,,0
GTES,T3,headline,2018-01-25,2018,ok,yfinance,2018-01-25,2101
RBRK,T3,headline,2024-04-25,2024,ok,yfinance,2024-04-25,529
BSY,T3,headline,2020-09-23,2020,ok,yfinance,2020-09-23,1431
ULS,T3,headline,2024-04-12,2024,ok,yfinance,2024-04-12,538
ALAB,T3,headline,2024-03-20,2024,ok,yfinance,2024-03-20,551
DDL,T3,headline,2021-06-29,2021,ok,yfinance,2021-06-29,1239
TIXT,T3,headline,2021-02-03,2021,missing_both_sources,,,0
LZ,T3,headline,2021-06-30,2021,ok,yfinance,2021-06-30,1238
TTAN,T3,headline,2024-12-12,2024,ok,yfinance,2024-12-12,369
ABCL,T3,headline,2020-12-11,2020,ok,yfinance,2020-12-11,1375
