ticker,tier,bucket,listing,quarter,year,era,split,n_bars,stock_e1_x60,qqq_e1_x60,hedged_e1_x60,stock_e1_x90,qqq_e1_x90,hedged_e1_x90,stock_e1_x120,qqq_e1_x120,hedged_e1_x120,stock_e1_x180,qqq_e1_x180,hedged_e1_x180,stock_e1_x250,qqq_e1_x250,hedged_e1_x250,stock_e5_x60,qqq_e5_x60,hedged_e5_x60,stock_e5_x90,qqq_e5_x90,hedged_e5_x90,stock_e5_x120,qqq_e5_x120,hedged_e5_x120,stock_e5_x180,qqq_e5_x180,hedged_e5_x180,stock_e5_x250,qqq_e5_x250,hedged_e5_x250,stock_e10_x60,qqq_e10_x60,hedged_e10_x60,stock_e10_x90,qqq_e10_x90,hedged_e10_x90,stock_e10_x120,qqq_e10_x120,hedged_e10_x120,stock_e10_x180,qqq_e10_x180,hedged_e10_x180,stock_e10_x250,qqq_e10_x250,hedged_e10_x250,stock_e20_x60,qqq_e20_x60,hedged_e20_x60,stock_e20_x90,qqq_e20_x90,hedged_e20_x90,stock_e20_x120,qqq_e20_x120,hedged_e20_x120,stock_e20_x180,qqq_e20_x180,hedged_e20_x180,stock_e20_x250,qqq_e20_x250,hedged_e20_x250,stock_e30_x60,qqq_e30_x60,hedged_e30_x60,stock_e30_x90,qqq_e30_x90,hedged_e30_x90,stock_e30_x120,qqq_e30_x120,hedged_e30_x120,stock_e30_x180,qqq_e30_x180,hedged_e30_x180,stock_e30_x250,qqq_e30_x250,hedged_e30_x250
FPS,T3,considered,2026-02-05,2026Q1,2026,2020+,validation,107,0.19727488680484173,0.10510692649937137,-0.09216796030547036,0.7585901031877922,0.1986881855008984,-0.5599019176868938,,,,,,,,,,0.27387326669014245,0.1216842553004247,-0.15218901138971774,0.8710998987836851,0.21666929457233586,-0.6544306042113492,,,,,,,,,,0.18917317366747932,0.10663167205393176,-0.08254150161354756,0.7466900853228435,0.20034204761896146,-0.5463480377038821,,,,,,,,,,0.2770931644902903,0.1233488480648477,-0.15374431642544262,0.8758293727474527,0.2184748462637951,-0.6573545264836576,,,,,,,,,,0.20837062024011033,0.1574897051778188,-0.05088091506229153,0.7748878199627152,0.25550677601002136,-0.5193810439526938,,,,,,,,,
NAVN,T3,considered,2025-10-30,2025Q4,2025,2020+,validation,173,-0.3307028384640778,0.007893818918639495,0.33859665738271727,-0.562022180936316,-0.04934350123972975,0.5126786796965862,-0.23057949815140055,0.058027646624743134,0.2886071447761437,,,,,,,-0.23977594370746458,0.036565176073338757,0.27634111978080333,-0.5025210126236558,-0.022300362869623447,0.48022064975403234,-0.12605041747426216,0.08812515091192119,0.21417556838618335,,,,,,,-0.21424439287007246,0.04213638504154704,0.2563807779116195,-0.48581355651042013,-0.017045537497977437,0.4687680190124427,-0.09669948071965451,0.09397347838734138,0.1906729591069959,,,,,,,-0.18693833070087218,0.023877057636627397,0.21081538833749958,-0.4679448873401538,-0.034267935269105876,0.43367695207104795,-0.06530857505748033,0.07480591049422247,0.1401144855517028,,,,,,,-0.06735398509030166,0.033271168770648174,0.10062515386094983,-0.38969072178462805,-0.025407306667161844,0.3642834151174662,0.07216496061652866,0.0846672957995942,0.012502335183065538,,,,,,
EQPT,T3,considered,2026-01-23,2026Q1,2026,2020+,validation,116,-0.21691175650297834,0.031468698711397014,0.24838045521437535,-0.32520051863053134,0.191360562443188,0.5165610810737193,,,,,,,,,,-0.2466237936403355,0.037423275040515236,0.2840470686808507,-0.3508038493116097,0.1982381801677311,0.5490420294793408,,,,,,,,,,-0.28913832051003985,0.05821770167835827,0.3473560221883981,-0.387439287170094,0.22225602951778312,0.6096953166878771,,,,,,,,,,-0.19897434854099894,0.07271658035689499,0.2716909288978939,-0.3097435714852097,0.23900243421124245,0.5487460056964522,,,,,,,,,,-0.16321427481515072,0.06150854588188959,0.2247228206970403,-0.27892855235508507,0.22605699992641504,0.5049855522815001,,,,,,,,,
XE,T3,considered,2026-04-24,2026Q2,2026,2020+,validation,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMED,T3,considered,2026-03-06,2026Q1,2026,2020+,validation,87,-0.3166666560702853,0.2292694756023279,0.5459361316726132,,,,,,,,,,,,,-0.2195431464401989,0.2583387062187976,0.4778818526589965,,,,,,,,,,,,,-0.2576946036651483,0.28354606881685807,0.5412406724820064,,,,,,,,,,,,,-0.07029473799545294,0.2679013435222293,0.3381960815176822,,,,,,,,,,,,,-0.1093410704562271,0.15363566747854152,0.2629767379347686,,,,,,,,,,,,
JAN,T3,considered,2026-03-20,2026Q1,2026,2020+,validation,77,0.07491045097924487,0.24125840662223452,0.16634795564298965,,,,,,,,,,,,,0.11578340298667733,0.29734426116624246,0.18156085817956513,,,,,,,,,,,,,0.09332432996707163,0.24020381252985024,0.1468794825627786,,,,,,,,,,,,,0.01426787413250663,0.1284342905597855,0.11416641642727887,,,,,,,,,,,,,-0.0300485297066706,0.08468072795269022,0.11472925765936082,,,,,,,,,,,,
MWH,T3,considered,2026-02-12,2026Q1,2026,2020+,validation,102,0.3862090791445878,0.1865187273100939,-0.1996903518344939,0.06555346078794377,0.18337641861780285,0.11782295782985908,,,,,,,,,,0.4698361256083503,0.17309068633214375,-0.29674543927620656,0.1298360355564805,0.16998393969961145,0.040147904143130964,,,,,,,,,,0.42227161104030486,0.17602695841392646,-0.2462446526263784,0.09327406675163408,0.17291243552546742,0.07963836877383335,,,,,,,,,,0.6091170441108253,0.20290608786993958,-0.40621095624088577,0.2368987196528929,0.19972037982427504,-0.037178339828617846,,,,,,,,,,0.5897163339786304,0.26789065896631037,-0.32182567501232007,0.22198575007700416,0.2645328494797492,0.04254709940274504,,,,,,,,,
DPC,T2,considered,2026-06-25,2026Q2,2026,2020+,validation,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YSS,T2,considered,2026-01-29,2026Q1,2026,2020+,validation,112,-0.04035342860375679,0.06946391129236562,0.10981733989612241,-0.18468336721241374,0.13966340627092722,0.32434677348334096,,,,,,,,,,0.4085604415549353,0.11395987456523393,-0.2946005669897014,0.1967142805662938,0.18708007974014573,-0.009634200826148076,,,,,,,,,,0.3325153707331754,0.10726479429406299,-0.2252505764391124,0.1321063166236076,0.17994553512715394,0.04783921850354633,,,,,,,,,,0.27265630256151696,0.09514003062540288,-0.17751627193611408,0.08124999580904846,0.1670249032882012,0.08577490747915273,,,,,,,,,,0.6446240640776728,0.12017041827514041,-0.5244536458025324,0.39727415706212454,0.19369828286461876,-0.20357587419750578,,,,,,,,,
LFTO,T2,considered,2026-06-04,2026Q2,2026,2020+,validation,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
